soc_code,occupation_title,target_domain,description,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Critical Thinking,Programming,Active Listening,Reading Comprehension,Speaking,Writing,Complex Problem Solving,Decision Making,Deductive Reasoning,Inductive Reasoning,Problem Sensitivity,Oral Comprehension,Mathematical Reasoning,Information Ordering,Visualization,Selective Attention,Computers and Electronics,Mathematics,Engineering and Technology,Business,Psychology,Education and Training,Medicine and Health,Communications
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",1.74,4.6,3.07,5.19,10.0,7.57,8.95,1.31,7.66,8.51,8.79,8.0,1.18,1.0,8.42,8.31,8.28,8.76,6.04,7.59,6.01,6.42,7.66,6.76,6.32,9.49,6.1,7.34,3.11,5.65
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2.29,3.87,2.86,5.14,9.87,6.86,9.06,1.43,8.16,8.64,8.51,8.57,1.0,1.0,7.96,8.33,7.84,9.06,6.1,8.2,5.67,6.15,7.21,6.81,6.43,9.82,6.64,7.43,2.66,6.44
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2.05,4.71,2.72,4.87,9.66,7.2,8.38,1.27,8.3,7.98,8.38,8.57,1.0,1.0,8.43,8.11,7.65,9.15,6.91,7.97,5.51,6.15,8.1,6.87,6.48,9.77,6.17,6.75,2.81,5.79
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2.11,4.08,3.53,5.18,10.0,6.96,8.61,1.07,7.99,8.64,8.96,8.38,1.44,1.39,7.74,7.55,7.52,9.08,6.43,7.67,5.96,5.59,7.54,6.93,6.42,9.58,6.08,6.65,2.57,6.44
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",1.67,4.8,3.15,5.49,9.86,7.26,8.47,1.45,7.76,8.22,8.23,7.81,1.09,1.0,8.42,8.12,7.69,9.33,6.42,7.78,5.61,6.02,7.14,6.45,5.62,9.68,5.77,6.92,2.72,5.89
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",1.97,4.28,3.07,5.35,10.0,7.57,8.54,1.0,7.68,8.0,8.2,8.43,1.47,1.26,7.74,8.38,7.62,9.08,6.12,8.49,5.6,6.41,7.68,6.96,6.48,9.41,5.86,7.0,3.01,5.73
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2.26,4.75,2.89,5.21,9.96,7.05,8.81,1.46,8.0,8.6,8.34,8.64,1.0,1.0,8.57,7.97,8.46,8.97,6.31,7.78,5.51,6.32,7.97,7.29,6.43,9.1,6.58,7.28,3.25,6.06
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2.25,4.04,2.96,5.34,9.59,6.99,8.34,1.0,7.97,8.7,8.82,8.54,1.08,1.38,8.36,8.06,8.3,9.53,6.53,8.03,5.67,5.95,8.01,6.79,6.09,9.84,5.79,6.87,2.98,5.6
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2.13,4.7,2.7,5.08,10.0,7.3,9.17,1.0,8.21,7.77,8.98,7.99,1.0,1.5,8.26,7.91,8.08,8.9,6.73,7.92,6.35,6.0,7.7,6.88,6.07,9.57,5.96,6.6,2.76,6.1
11-1011.00,Chief Executives,Management,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",1.85,4.82,2.7,4.77,9.86,7.25,9.05,1.0,7.78,8.47,8.51,8.22,1.0,1.0,8.43,7.73,7.8,9.04,6.31,7.98,5.71,5.72,7.19,6.4,6.55,10.0,6.53,7.0,3.11,5.75
