logical_reasoning,coding_ability,communication_skills,creativity,leadership,data_analysis,target_career
5,4,7,8,8,10,Marketing Specialist
3,2,8,3,10,1,HR Manager
7,10,7,10,1,9,Financial Analyst
10,8,10,2,5,9,Data Scientist
3,7,7,10,1,10,UX/UI Designer
8,6,10,7,8,9,Marketing Specialist
8,7,4,9,1,9,Software Engineer
4,9,10,8,9,10,Marketing Specialist
8,5,8,7,10,5,Sales Executive
7,6,9,2,10,9,HR Manager
5,9,8,5,7,2,HR Manager
8,7,1,7,5,6,Software Engineer
8,10,6,8,4,4,Software Engineer
10,6,10,5,6,8,Data Scientist
7,1,10,10,6,8,Financial Analyst
9,8,9,2,7,1,Sales Executive
9,10,9,9,8,10,Sales Executive
5,2,8,1,7,10,Sales Executive
9,6,6,4,5,8,Data Scientist
3,4,10,2,6,9,Sales Executive
9,6,8,8,2,4,UX/UI Designer
9,8,7,5,7,2,Product Manager
9,9,1,2,9,9,Software Engineer
3,8,9,8,1,4,UX/UI Designer
6,9,7,9,6,10,Software Engineer
1,2,9,10,10,5,HR Manager
6,5,10,1,8,4,Product Manager
6,10,10,5,5,10,Software Engineer
8,4,5,1,3,8,Financial Analyst
10,7,2,2,7,9,Software Engineer
7,9,8,1,7,8,Sales Executive
8,9,9,3,8,9,HR Manager
2,5,8,8,8,10,Sales Executive
5,9,10,5,9,5,HR Manager
8,4,10,4,8,8,Product Manager
8,3,9,5,10,9,Product Manager
7,9,10,2,7,5,Product Manager
5,1,9,9,9,7,UX/UI Designer
8,2,7,8,2,3,Marketing Specialist
2,9,10,8,10,3,Sales Executive
8,6,9,10,3,10,UX/UI Designer
3,10,10,8,6,3,Marketing Specialist
7,6,9,4,6,10,Sales Executive
8,8,10,3,10,2,Sales Executive
2,2,7,9,10,2,Marketing Specialist
7,2,8,2,10,10,HR Manager
5,7,9,7,1,4,Marketing Specialist
7,2,6,10,10,9,Financial Analyst
10,7,8,3,7,6,Software Engineer
7,6,8,9,2,8,Financial Analyst
8,4,8,4,8,6,Product Manager
3,8,7,7,5,1,Marketing Specialist
10,6,10,7,7,9,Data Scientist
9,2,9,5,6,7,Sales Executive
7,1,7,2,7,6,Product Manager
6,6,7,8,10,1,Product Manager
8,2,8,7,8,7,Marketing Specialist
7,9,3,8,1,8,Data Scientist
9,9,8,6,7,10,Sales Executive
9,9,3,5,4,4,Software Engineer
7,7,10,10,3,10,Marketing Specialist
9,9,2,2,9,4,Software Engineer
9,9,1,3,1,9,Financial Analyst
2,6,9,7,9,7,HR Manager
2,5,9,8,1,6,UX/UI Designer
10,10,9,10,7,6,Sales Executive
7,6,1,1,3,10,Financial Analyst
2,2,9,10,9,3,HR Manager
10,10,6,2,7,10,Software Engineer
10,3,8,10,6,9,Financial Analyst
7,4,8,9,10,4,HR Manager
10,9,8,8,9,4,HR Manager
6,8,8,7,5,3,Marketing Specialist
9,7,6,6,3,8,Data Scientist
3,1,8,10,5,8,Marketing Specialist
10,7,3,2,1,7,Financial Analyst
1,4,10,8,8,1,HR Manager
6,6,7,8,5,8,Marketing Specialist
5,4,10,2,10,8,Sales Executive
8,10,2,4,10,9,Data Scientist
8,4,8,2,8,7,Product Manager
10,8,1,1,10,4,Software Engineer
7,6,9,2,9,10,Product Manager
9,4,10,7,9,1,Product Manager
7,10,7,4,4,9,Data Scientist
10,7,10,6,7,9,Financial Analyst
8,2,8,3,6,7,Financial Analyst
7,5,7,1,9,3,Product Manager
7,1,8,9,10,2,Product Manager
1,1,7,9,3,4,UX/UI Designer
5,10,8,5,7,6,HR Manager
9,7,5,9,5,1,Software Engineer
6,4,8,8,7,10,Product Manager
10,7,9,9,3,10,Data Scientist
9,10,7,8,1,10,Data Scientist
8,6,10,7,8,4,Product Manager
10,9,2,10,8,8,Data Scientist
6,7,7,6,8,3,Product Manager
7,6,9,6,9,8,Data Scientist
2,4,10,6,9,5,HR Manager
6,5,10,9,8,8,HR Manager
6,2,6,8,9,6,UX/UI Designer
7,7,10,3,10,9,HR Manager
10,8,7,10,1,2,UX/UI Designer
8,8,10,7,8,8,Data Scientist
9,8,1,5,8,10,Data Scientist
5,6,8,1,6,1,Sales Executive
9,3,8,5,8,5,Product Manager
2,8,10,7,7,4,Marketing Specialist
8,10,10,5,7,8,Financial Analyst
7,6,7,9,9,9,Product Manager
8,4,8,3,8,6,Product Manager
7,7,8,5,7,8,Product Manager
10,7,5,8,2,9,Financial Analyst
9,4,8,7,7,3,HR Manager
7,9,8,10,10,9,Marketing Specialist
9,2,6,10,1,6,UX/UI Designer
9,3,8,9,8,4,Product Manager
10,10,7,1,6,3,Software Engineer
7,5,8,9,3,4,UX/UI Designer
8,9,6,9,10,5,UX/UI Designer
9,9,4,3,5,8,Data Scientist
8,8,6,4,5,10,Data Scientist
10,7,6,5,7,10,Data Scientist
9,9,7,6,10,7,Software Engineer
10,3,9,8,10,6,Product Manager
7,5,6,8,7,6,UX/UI Designer
8,6,10,7,10,6,Marketing Specialist
7,9,9,9,7,5,UX/UI Designer
10,9,8,3,7,6,Product Manager
7,7,1,8,7,1,Software Engineer
7,7,7,3,5,9,Financial Analyst
8,3,9,1,6,7,Financial Analyst
10,6,8,4,7,2,Sales Executive
7,9,1,3,5,7,Software Engineer
10,10,9,5,7,9,Software Engineer
8,6,6,2,10,7,Financial Analyst
8,7,8,10,10,3,Software Engineer
10,3,5,3,4,9,Financial Analyst
9,4,10,8,8,9,Product Manager
8,8,8,1,8,7,Product Manager
4,4,10,6,7,9,HR Manager
8,10,10,7,4,10,Data Scientist
8,5,6,10,9,8,Financial Analyst
8,7,7,7,3,10,Financial Analyst
10,7,4,4,3,8,Software Engineer
2,9,10,10,10,10,Marketing Specialist
5,3,8,6,10,9,Sales Executive
3,4,9,5,8,4,HR Manager
8,2,7,5,10,6,Product Manager
6,7,6,5,10,6,Software Engineer
4,2,8,6,7,4,HR Manager
7,9,5,4,8,8,Data Scientist
9,8,5,3,2,3,Software Engineer
9,6,10,7,8,6,Product Manager
10,4,8,4,2,10,Financial Analyst
7,9,1,2,5,7,Financial Analyst
